Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"SILC_Activity","","Икономическа активност","Activity Status"
"SILC_Activity","1","Заети","Employment"
"SILC_Activity","2","Не заети","Non employment"
"SILC_Activity","3","Безработни","Unemployment"
"SILC_Activity","4","Пенсионери","Retired"
"SILC_Activity","5","Други неактивни","Inactive population - Other"
"SILC_Age","","Възраст","Age"
"SILC_Age","2","18-64 години","Between 18 and 64 years"
"SILC_Age","3","65 и повече години","65 years and over"
"SILC_Age","9","18 и повече години","18 years and over"
"Units","","Мерни единици","Measuring units"
"Units","perc_pop_fig","% от съвкупността","PC_POP"
